ts,mean_latency,stdev_latency,latencies,latencies_smoothed,first_order_deriv,second_order_deriv,packet_loss,bw_ratio
0.458130,0.05843516250000000324380314278,0.00001083749999999675619685722,0.058130,0.05844600,-0.00032000,-0.00039425,0.0,0.34110160904632597
0.558074,0.05843516250000000324380314278,0.00005283749999999675619685722,0.058074,0.05848800,0.00004200,0.00036200,0.0,0.3418775642848438
0.658770,0.05843516250000000324380314278,-0.00010516250000000324380314278,0.058770,0.05833000,-0.00015800,-0.00020000,0.0,0.33247738316280173
0.758346,0.05843516250000000324380314278,-0.00015716250000000324380314278,0.058346,0.05827800,-0.00005200,0.00010600,0.0,0.3381413475832697
0.857922,0.05843516250000000324380314278,-0.00011716250000000324380314278,0.057922,0.05831800,0.00004000,0.00009200,0.0,0.34400163498875946
0.958234,0.05843516250000000324380314278,-0.00019916250000000324380314278,0.058234,0.05823600,-0.00008200,-0.00012200,0.0,0.3396698551075594
1.058442,0.05843516250000000324380314278,-0.00033116250000000324380314278,0.058442,0.05810400,-0.00013200,-0.00005000,0.0,0.3368421052631579
1.157818,0.05842427500000000324319876512,-0.00026227500000000324319876512,0.057818,0.05816200,0.00005800,0.00019000,0.0,0.345470218792332
1.258154,0.05842428750000000324319945902,-0.00022628750000000324319945902,0.058154,0.05819800,0.00003600,-0.00002200,0.0,0.3407701340243754
1.358378,0.05842310000000000324313353952,-0.00025510000000000324313353952,0.058378,0.05816800,-0.00003000,-0.00006600,0.0,0.33770715460856304
1.458322,0.05842510000000000324324456182,-0.00002910000000000324324456182,0.058322,0.05839600,0.00022800,0.00025800,0.0,0.33846772571888195
1.558730,0.05842820000000000324341664639,0.00014979999999999675658335361,0.058730,0.05857800,0.00018200,-0.00004600,0.0,0.3330036006805682
1.658882,0.05842770000000000324338889080,0.00027829999999999675661110920,0.058882,0.05870600,0.00012800,-0.00005400,0.0,0.3310127826941986
1.758890,0.05843560000000000324382742890,0.00016039999999999675617257110,0.058890,0.05859600,-0.00011000,-0.00023800,0.0,0.33090866197459995
1.857882,0.05844670000000000324444360267,0.00011929999999999675555639733,0.057882,0.05856600,-0.00003000,0.00008000,0.0,0.34456499488229275
1.958610,0.05845570000000000324494320303,-0.00016370000000000324494320303,0.058610,0.05829200,-0.00027400,-0.00024400,0.0,0.3345922951536596
2.057786,0.05847530000000000324603122159,-0.00000130000000000324603122159,0.057786,0.05847400,0.00018200,0.00045600,0.0,0.34592461671256525
2.159618,0.05850750000000000324781868066,0.00018449999999999675218131934,0.059618,0.05869200,0.00021800,0.00003600,0.0,0.3217002408164826
2.258754,0.05853090000000000324911764161,0.00013709999999999675088235839,0.058754,0.05866800,-0.00002400,-0.00024200,0.0,0.33268767047475983
2.358514,0.05855850000000000325064974937,0.00024749999999999674935025063,0.058514,0.05880600,0.00013800,0.00016200,0.0,0.3358742068084767
2.458338,0.05857700000000000325167670567,-0.00006900000000000325167670567,0.058338,0.05850800,-0.00029800,-0.00043600,0.0,0.3382500703347936
2.558426,0.05857600000000000325162119452,-0.00009800000000000325162119452,0.058426,0.05847800,-0.00003000,0.00026800,0.0,0.3370579518603068
2.658634,0.05857370000000000325149351887,-0.00008570000000000325149351887,0.058634,0.05848800,0.00001000,0.00004000,0.0,0.33427334471938674
2.758554,0.05855610000000000325051652260,-0.00005610000000000325051652260,0.058554,0.05850000,0.00001200,0.00000200,0.0,0.3353388851257122
2.858386,0.05854530000000000324991700218,-0.00004730000000000324991700218,0.058386,0.05849800,-0.00000200,-0.00001400,0.0,0.3375987805367243
2.958418,0.05854070000000000324966165088,0.00008729999999999675033834912,0.058418,0.05862800,0.00013000,0.00013200,0.0,0.33716597892712635
